,Filer,Date,Accession No.,Description
165,Nuclear Information and Resource Service,10/16/2017,20171016-5104,(doc-less) Motion to Intervene of Nuclear Information and Resource Service under RM18-1.
166,Sorgo Fuels,10/16/2017,20171016-5108,"Comment of Mike Holly, on behalf of Sorgo Fuels & Chemicals, Inc. under RM18-1."
167,"Lhoist North America, Inc. Lhoist North America, Inc.",10/16/2017,20171016-5138,"Comment of Lhoist North America, Inc. under RM18-1."
168,DTE Electric Company,10/16/2017,20171016-5149,(doc-less) Motion to Intervene of DTE Electric Company under RM18-1.
169,"FreightCar America, Inc",10/16/2017,20171016-5151,"Comment of FreightCar America, Inc under RM18-1."
170,Individual No Affiliation,10/16/2017,20171016-5161,Comment of Mark P Barry under RM18-1
171,FirstEnergy Corp.,10/16/2017,20171016-5174,Comment of Laborers' Local 310 under RM18-1.
172,Burnham Industrial Contractors,10/16/2017,20171016-5198,Comment of Burnham Industrial Contractors under RM18-1.
173,"Campbell Transportation Company, Inc.",10/16/2017,20171016-5232,"Comment of Campbell Transportation Company, Inc. under RM18-1."
174,"Tri-State Generation and Transmission Association, Inc.",10/16/2017,20171016-5243,"(doc-less) Motion to Intervene of Tri-State Generation and Transmission Association, Inc. under RM18-1."
175,Individual No Affiliation,10/16/2017,20171016-5253,Comment of Todd Snyder under RM18-1.
176,CONGRESS OF THE UNITED STATES,10/16/2017,20171017-0007,Comments of US Congressman Kevin Cramer regarding RM18-1.
177,"Northeast Power Coordinating Council, Inc.",10/17/2017,20171017-5021,"(doc-less) Motion to Intervene of Northeast Power Coordinating Council, Inc. under RM18-1."
178,IBEW Local 2357,10/17/2017,20171017-5045,Comment of IBEW Local 2357 under RM18-1.
179,"Campbell Transportation Company, Inc.",10/17/2017,20171017-5046,"Comment of Campbell Transportation Company, Inc. under RM18-1."
180,IBEW Local 1413,10/17/2017,20171017-5048,Comment of IBEW Local 1413 under RM18-1.
181,"Kentucky Industrial Utility Customers, Inc.",10/17/2017,20171017-5050,"Comments of Kentucky Industrial Utility Customers, Inc. (KIUC) under RM18-1."
182,Individual No Affiliation,10/17/2017,20171017-5054,Comment of Ellen S Kurlansky under RM18-1.
183,Individual No Affiliation,10/17/2017,20171017-5057,Comment of Laurie S Kutina under RM18-1.
184,United Way of Beaver County,10/17/2017,20171017-5058,Comment of United Way of Beaver County under RM18-1.
185,Individual - No detailed affiliation given,10/17/2017,20171017-5079,Comment of Individual - No detailed affiliation given under RM18-1.
186,The Jefferson County Chamber of Commerce,10/17/2017,20171017-5082,Comment of The Jefferson County Chamber of Commerce under RM18-1. (Erroneously filed)
187,UTILITY WORKERS UNION OF AMERICA,10/17/2017,20171017-5090,Comment of UTILITY WORKERS UNION OF AMERICA under RM18-1.
188,IBEW 29,10/17/2017,20171017-5092,Comment of IBEW 29 under RM18-1.
189,"Campbell Transportation Company, Inc.",10/17/2017,20171017-5101,"Comment of Campbell Transportation Company, Inc. under RM18-1."
190,IBEW Local 246,10/17/2017,20171017-5102,Comment of IBEW Local 246 under RM18-1.
191,FirstEnergy Corp.,10/17/2017,20171017-5105,Comment of FirstEnergy Corp.under RM18-1. (Erroneously Filed - Replaced with 20171017-5140)
192,Ottawa County Improvement Corporation,10/17/2017,20171017-5106,Comment of Ottawa County Improvement Corporation under RM18-1.
193,South Side Area School District,10/17/2017,20171017-5115,Comment of South Side Area School District under RM18-1.
194,"IBEW, Local 1289",10/17/2017,20171017-5140,"Comment of IBEW, Local 1289 under RM18-1. ( This filing replaces 20171017-5105.)"
195,Illinois Industrial Energy Consumers,10/17/2017,20171017-5148,(doc-less) Motion to Intervene of Illinois Industrial Energy Consumers under RM18-1.
196,"HOUSE OF REPRESENTATIVES, UNITED STATES",10/17/2017,20171020-0006,US Congressman Kevin Cramer submits supplemental comments to the 10/12/17 letter under RM18-1.
197,Individual No Affiliation,10/18/2017,20171018-5000,Comment of Eric W Cook under RM18-1.
198,J and J Equipment Company Inc.,10/18/2017,20171018-5033,Comment of J and J Equipment Company Inc. under RM18-1.
199,Individual No Affiliation,10/18/2017,20171018-5035,"Comment of Delegate Brett R Wilson, ESQ, of the Maryland General Assembly, under RM18-1."
200,Upper Ohio Valley Building & Construction Trades Council,10/18/2017,20171018-5045,Comment of Upper Ohio Valley Building & Construction Trades Council under RM18-1.
201,R Street Institute,10/18/2017,20171018-5048,Comment of R Street Institute under RM18-1.
202,Citizens for Responsible Energy Solutions,10/18/2017,20171018-5060,Comment of Citizens for Responsible Energy Solutions Forum under RM18-1.
203,Individual No Affiliation,10/18/2017,20171018-5074,Comment of Mark P Barry under RM18-1.
204,Individual No Affiliation,10/18/2017,20171018-5075,Comment of Dara Bortman under RM18-1.
205,Repsol Energy North America Corporation,10/18/2017,20171018-5083,(doc-less) Motion to Intervene of Repsol Energy North America Corporation under RM18-1.
206,Individual No Affiliation,10/18/2017,20171018-5085,Comment of David F Gassman under RM18-1.
207,IBEW Local 777,10/18/2017,20171018-5091,Comments of IBEW Local 777 under RM18-1.
208,AMSEnergy Corp,10/18/2017,20171018-5092,Comment of AMSEnergy Corp under RM18-1.
209,Individual No Affiliation,10/18/2017,20171018-5103,Comment of Seth H Handy under RM18-1 in opposition to Secretary Perry's proposal.
210,"Westar Energy, Inc.",10/18/2017,20171018-5106,"(doc-less) Motion to Intervene of Westar Energy, Inc. under RM18-1."
211,FIRST ENERGY CORPORATION,10/18/2017,20171018-5107,Comment of FIRST ENERGY CORPORATION under RM18-1.
212,Ottawa County Emergency Management Agency (Ohio),10/18/2017,20171018-5115,Comment of Ottawa County Emergency Management Agency (Ohio) under RM18-1.
213,UWUA Local 350,10/18/2017,20171018-5116,Comment of UWUA Local 350 under RM18-1.
214,Individual No Affiliation,10/18/2017,20171018-5118,Comment of Nancy L Andon under RM18-1.
215,Harvard Environmental Policy Initiative,10/18/2017,20171018-5132,Comment of Harvard Environmental Policy Initiative in Docket No. RM18-1.
216,Progress Authority,10/18/2017,20171018-5152,Comment of Progress Authority under RM18-1.
217,THE REGIONAL GROWTH PARTNERSHIP,10/18/2017,20171018-5160,Comment of THE REGIONAL GROWTH PARTNERSHIP under RM18-1.
218,Sabin Center for Climate Change Law,10/18/2017,20171018-5162,Comment of Sabin Center for Climate Change Law under RM18-1.
219,American Chemical Society,10/18/2017,20171018-5190,Comment of the American Chemical Society under RM18-1.
220,North Dakota Public Service Commission,10/19/2017,20171019-5000,(doc-less) Motion to Intervene of North Dakota Public Service Commission under RM18-1.
221,Individual No Affiliation,10/19/2017,20171019-5008,"Comment of Paul N Zdinak, Mayor Village of Stratton, OH under RM18-1."
222,Columbiana County Commissioners,10/19/2017,20171019-5009,Comment of Columbiana County Commissioner Tim Weigle under RM18-1.
223,Perry Local Schools,10/19/2017,20171019-5014,Comment of Perry Local Schools under RM18-1.
224,"Utility Workers Union of America, Local Union 270",10/19/2017,20171019-5015,"Comment of Utility Workers Union of America, Local Union 270 under RM18-1."
225,"IBEW, Local 1194",10/19/2017,20171019-5016,"Comment of IBEW, Local 1194 under RM18-1."
226,"Apex Clean Energy Management, LLC",10/19/2017,20171019-5018,"(doc-less) Motion to Intervene of Apex Clean Energy Management, LLC under RM18-1."
227,UWUA Local #350,10/19/2017,20171019-5022,Comment of UWUA Local #350 under RM18-1.
228,"Campbell Transportation Company, Inc.",10/19/2017,20171019-5025,"Comment of Campbell Transportation Company, Inc. under RM18-1."
229,"NORTH BRANCH ENERGY, INC",10/19/2017,20171019-5031,"Comment of NORTH BRANCH ENERGY, INC under RM18-1."
230,Pleasants Area Chamber of Commerce,10/19/2017,20171019-5032,Comments of Pleasants Area Chamber of Commerce under RM18-1. (Erroneously filed)
231,"MPW Industrial Services, Inc.",10/19/2017,20171019-5044,"Comments of MPW Industrial Services, Inc. under RM18-1."
232,Individual No Affiliation,10/19/2017,20171019-5053,Comments of Bipartisan Former FERC Commissioners under RM18-1.
233,Individual No Affiliation,10/19/2017,20171019-5059,Comment of Charles McConnell under RM18-1.
234,Benton-Carroll-Salem School District,10/19/2017,20171019-5060,Comment of Benton-Carroll-Salem School District under RM18-1.
235,Rudolph Libbe Group,10/19/2017,20171019-5062,Comment of Rudolph Libbe Group under RM18-1.
236,"Wabash Valley Power Association, Inc.",10/19/2017,20171019-5064,"Comment of Wabash Valley Power Association, Inc. under RM18-1."
237,"R.W. Sidley, Inc.",10/19/2017,20171019-5073,"Comment of R.W. Sidley, Inc. under RM18-1."
238,IBEW Local 459,10/19/2017,20171019-5078,Comment of IBEW Local 459 under RM18-1.
239,BABCOCK & WILCOX COMPANY,10/19/2017,20171019-5097,Comment of BABCOCK & WILCOX COMPANY under RM18-1.
240,Public Service Commission of West Virginia,10/19/2017,20171019-5103,Motion to Intervene of Public Service Commission of West Virginia under RM18-1.
241,"Campbell Transportation Company, Inc.",10/19/2017,20171019-5109,"Comment of Campbell Transportation Company, Inc. under RM18-1."
242,Global Energy Institute of the U.S. Chamber of Commerce,10/19/2017,20171019-5117,Motion to Intervene of Global Energy Institute of the U.S. Chamber of Commerce under RM18-1.
243,"Carmeuse Lime, Inc.",10/19/2017,20171019-5119,"Comment of Carmeuse Lime, Inc. under RM18-1."
244,"Campbell Transportation Company, Inc.",10/19/2017,20171019-5127,"Comment of Campbell Transportation Company, Inc. under RM18-1."
245,"Midwest Energy, Inc. Midwest Energy, Inc.",10/19/2017,20171019-5133,"(doc-less) Motion to Intervene of Midwest Energy, Inc. under RM18-1."
246,Individual No Affiliation,10/20/2017,20171020-5037,Comments_of_Michael_Moore_under_RM18-1.
247,Individual No Affiliation,10/20/2017,20171020-5040,Comment of Mark Dorazio under RM18-1.
248,Individual No Affiliation,10/20/2017,20171020-5042,Comment of Ian Thompson under RM18-1.
249,Individual No Affiliation,10/20/2017,20171020-5047,Jefferson County Township Association under RM18-1.
250,"Campbell Transportation Company, Inc.",10/20/2017,20171020-5049,"Comment of Campbell Transportation Company, Inc. under RM18-1."
251,"Campbell Transportation Company, Inc.",10/20/2017,20171020-5053,"Comment of Campbell Transportation Company, Inc. under RM18-1."
252,"Longview Power, LLC LONGVIEW POWER, LLC",10/20/2017,20171020-5072,"Letter and Comment submitted on behalf of Longview Power, LLC to the Federal Energy Regulatory Commission under Docket RM18-1."
253,"PJM Interconnection, L.L.C. PJM Interconnection, L.L.C.",10/20/2017,20171020-5077,"(doc-less) Motion to Intervene of PJM Interconnection, L.L.C. under RM18-1."
254,IBEW Third District,10/20/2017,20171020-5097,Comment of IBEW Third District under RM18-1.
255,"Dunbar Mechanical, Inc.",10/20/2017,20171020-5098,"Comment of Dunbar Mechanical, Inc. under RM18-1."
256,"Potomac Economics, Ltd.",10/20/2017,20171020-5103,Comments of Potomac Economics regarding Notice Inviting Comments on Grid Reliability and Resilience Pricing filed under RM18-1.
257,Beaver County Commissioners,10/20/2017,20171020-5111,Comment of Beaver County Commissioners under RM18-1.
258,NEW HAMPSHIRE CONSUMER ADVOCATE,10/20/2017,20171020-5120,(doc-less) Motion to Intervene of NEW HAMPSHIRE OFFICE OF THE CONSUMER ADVOCATE under RM18-1.
259,California Justice Department,10/20/2017,20171020-5121,(doc-less) Motion to Intervene of California Justice Department under RM18-1.
260,New England Power Pool Participants Committee,10/20/2017,20171020-5122,Comment of New England Power Pool Participants Committee under RM18-1.
261,Massachusetts Attorney General Massachusetts Attorney General Massachusetts Attorney General,10/20/2017,20171020-5123,(doc-less) Motion to Intervene of Massachusetts Attorney General under RM18-1.
262,Holtec International,10/20/2017,20171020-5128,Comment of Holtec International under RM18-1.
263,NSIC Institute,10/20/2017,20171020-5137,Comment of NSIC Institute under RM18-1.
264,North Carolina Department of Justice,10/20/2017,20171020-5138,(doc-less) Motion to Intervene of North Carolina Department of Justice under RM18-1.
265,Rep. Keith Rothfus,10/20/2017,20171020-5141,Comment of Rep. Keith Rothfus and other Pennsylvania members under RM18-1.
266,Rhode Island Attorney General,10/20/2017,20171020-5145,(doc-less) Motion to Intervene of Rhode Island Attorney General under RM18-1.
267,WIRES,10/20/2017,20171020-5147,Comments of WIRES under RM18-1.
268,Leadership Ashtabula County,10/20/2017,20171020-5152,Comment of Leadership Ashtabula County under RM18-1.
269,"Campbell Transportation Company, Inc.",10/20/2017,20171020-5158,"Comment of Campbell Transportation Company, Inc. under RM18-1."
270,Arizona Public Service Company,10/20/2017,20171020-5159,(doc-less) Motion to Intervene of Arizona Public Service Company under RM18-1.
271,"Campbell Transportation Company, Inc.",10/20/2017,20171020-5168,"Comment of Campbell Transportation Company, Inc. under RM18-1."
272,"Campbell Transportation Company, Inc.",10/20/2017,20171020-5170,"Comment of Campbell Transportation Company, Inc. under RM18-1."
273,Capstone Turbine Corporation,10/20/2017,20171020-5174,Comment of Capstone Turbine Corporation under RM18-1.
274,Rhode Island Division of Public Utilities and Carriers,10/20/2017,20171020-5175,(doc-less) Motion to Intervene of Rhode Island Division of Public Utilities and Carriers under RM18-1.
275,Individual No Affiliation,10/20/2017,20171020-5181,Comment of Jason Buckel under RM18-1.
276,Sandusky County Economic Development Corporation,10/20/2017,20171020-5188,Comment of Sandusky County Economic Development Corporation under RM18-1.
277,Individual No Affiliation,10/20/2017,20171020-5189,Comment of Ann Harvey under RM18-1.
278,TechNet,10/20/2017,20171020-5191,Comment of TechNet under RM18-1.
279,Individual No Affiliation,10/20/2017,20171020-5194,Comment of Patricia Marida under RM18-1.
280,"OH,PA, WV IPPs",10/20/2017,20171020-5196,"PA,OH,WV Independent Power Producers under RM18-1."
281,Boich Companies,10/20/2017,20171020-5197,Comment of Boich Companies under RM18-1.
282,"PVS CHEMICALS, INC.",10/20/2017,20171020-5199,"Comment of PVS CHEMICALS, INC. under RM18-1."
283,Ohio AFL-CIO,10/20/2017,20171020-5213,Comment of Ohio AFL-CIO under RM18-1.
284,Individual No Affiliation,10/20/2017,20171020-5229,Comment of Kathy J Kerridge under RM18-1.
285,Berkshire Hathaway Energy Company,10/20/2017,20171020-5232,(doc-less) Motion to Intervene of Berkshire Hathaway Energy Company under RM18-1.
286,Youngstown State University,10/20/2017,20171020-5233,Comment of Youngstown State University under RM18-1.
287,The Presidents' Council,10/20/2017,20171020-5235,Comment of The Presidents' Council under RM18-1.
288,CROWN BATTERY MANUFACTURING CO,10/20/2017,20171023-0009,Crown Battery Manufacturing Company provides comments re the rulemaking to help ensure a secure resilient U.S. electric system under RM18-1.
289,UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE UNITED STATES SENATE,10/23/2017,20171023-0010,Comments of Senator Maria Cantwell et al re the Grid Reliability and Resilience Pricing Rule under RM18-1.
290,UNION FOR JOBS & ENVIRONMENTAL PROGRESS UNION FOR JOBS & ENVIRONMENTAL PROGRESS,10/23/2017,20171023-0011,Comments of James Hunter regarding proposed grid resiliency pricing rule under RM18-1
291,INDIVIDUAL,10/23/2017,20171023-0012,"Mark P. Barry Consulting, LLC provides comments re the Department of Energy's Notice of Proposed Rulemaking on Grid Resiliency under RM18-1."
292,INDIVIDUAL,10/23/2017,20171023-0021,Pleasants County Development Authority submits comments re the proposed Grid Resiliency Pricing Rule under RM18-1.
293,INTERNATIONAL BROTHERHOOD OF ELECTICAL,10/23/2017,20171023-0022,International Brotherhood of Electrical Workers submits comments re the concern with providing expedited cost recovery for investments to improve reliability and resiliency of electric and gas distribution systems under RM18-1.
294,INDIVIDUAL,10/23/2017,20171023-0023,Comments of Sonya S. Pennock re the wholesale electricity prices for coal nuclear plants under RM18-1.
295,UNITED STATES SENATE,10/23/2017,20171023-4000,Comments of U.S. Senator Michael Bennet re the Grid Resiliency Pricing Rule under RM18-1.
296,CALIFORNIA PUBLIC UTILITIES COMMISSION,10/23/2017,20171023-4004,Comments of the Public Utilities Commission of the State of California re the Grid Resiliency Pricing Rule under RM18-1.
297,INDIVIDUAL,10/23/2017,20171023-4005,Declaration of Kristin Ralff Douglas in support of comments of the Public Utilities Commission of the State of California re Grid Reliability and Resilience Pricing under RM18-1.
298,STATE OF CALIFORNIA,10/23/2017,20171023-4006,California Governor Edmund G. Brown submits comments re the Grid Resiliency Pricing Rule under RM18-1.
299,STATE OF OREGON,10/23/2017,20171023-4007,Governor of Oregon Kate Brown and Governor of Washington submits comments re the Grid Resiliency Pricing Rule under RM18-1.
300,Southwest Power Pool Market Monitoring Unit,10/23/2017,20171023-5009,Comment of Southwest Power Pool Market Monitoring Unit under RM18-1.
301,Oregon Attorney General,10/23/2017,20171023-5031,(doc-less) Motion to Intervene of Oregon Attorney General under RM18-1.
302,CLEVELAND BRANCH NAACP,10/23/2017,20171023-5041,Comment of CLEVELAND BRANCH NAACP under RM18-1.
303,Individual No Affiliation,10/23/2017,20171023-5055,Comment of Joan Christensen under RM18-1.
304,Individual No Affiliation,10/23/2017,20171023-5058,Comment of Fred Reitman under RM18-1.
305,Maryland General Assembly,10/23/2017,20171023-5059,Comment of Delegate Neil C. Parrott of the Maryland General Assembly under RM18-1.
306,Individual No Affiliation,10/23/2017,20171023-5061,Comment of Eric A Jackson under RM18-1.
307,Individual No Affiliation,10/23/2017,20171023-5063,Comment of Carol L Campbell under RM18-1.
308,Washington State Attorney General's Office,10/23/2017,20171023-5076,(doc-less) Motion to Intervene of Washington State Attorney General's Office under RM18-1.
309,Alliance for a Green Economy,10/23/2017,20171023-5081,(doc-less) Motion to Intervene of Alliance for a Green Economy under RM18-1.
310,Consumers Energy Company,10/23/2017,20171023-5083,(doc-less) Motion to Intervene of Consumers Energy Company under RM18-1.
311,New York Climate Action Group,10/23/2017,20171023-5088,Comment of New York Climate Action Group under RM18-1. Objection to Secretary Rick Perry's proposed bailout of nuclear and coal industries by electricity consumers.
312,Individual No Affiliation,10/23/2017,20171023-5090,Comment of Mary D Lasky under RM18-1.
313,Individual No Affiliation,10/23/2017,20171023-5091,Comment of Clinton Lamoreaux under RM18-1.
314,Individual No Affiliation,10/23/2017,20171023-5092,Motion to Intervene of 47 Coffin Street Ratepayer Advocates under RM18-1.
315,"City of Akron, Ohio",10/23/2017,20171023-5094,"Comment of City of Akron, Ohio under RM18-1."
316,Individual No Affiliation,10/23/2017,20171023-5098,Comment of Theresa Pugh under RM18-1.
317,ROCKY MOUNTAIN INSTITUTE,10/23/2017,20171023-5099,Comment of ROCKY MOUNTAIN INSTITUTE (submitted by Amory B. Lovins) under RM18-1.
318,Individual No Affiliation,10/23/2017,20171023-5100,Comment of Arvia Morris under RM18-1.
319,Individual No Affiliation,10/23/2017,20171023-5101,Comment of Ling Tsou under RM18-1.
320,"ExxonMobil Power and Gas Services Inc., an affiliate of Exxo",10/23/2017,20171023-5102,"Comment of ExxonMobil Power and Gas Services Inc., an affiliate of Exxon Mobil Corporation, and ExxonMobil Gas and Power Marketing Company, a division of Exxon Mobil Corporation, under RM18-1."
321,Individual No Affiliation,10/23/2017,20171023-5103,Comment of Michael E Sutherland under RM18-1.
322,Individual No Affiliation,10/23/2017,20171023-5104,"22 Oct 2017 comments by Ken Sletten in ND, on FERC Docket RM18-1: Proposed Grid Reliability and Resilience Pricing."
323,Individual No Affiliation,10/23/2017,20171023-5106,Comment of Trayce E Bradford under RM18-1.
324,Individual No Affiliation,10/23/2017,20171023-5107,Comment of Teresa Catford under RM18-1. DOE Proposal to FERC to Subsidize Wholesale Electricity Prices for Coal and Nuclear Power Plants (Proposed Grid Resiliency Pricing Rule)
325,Individual No Affiliation,10/23/2017,20171023-5108,Comment of Dr. Benjamin Stuhl under RM18-1.
326,ROCKY MOUNTAIN INSTITUTE,10/23/2017,20171023-5109,Errata to 23 Oct 2017 Comment (Submission 813728) of ROCKY MOUNTAIN INSTITUTE under RM18-1.
327,Individual No Affiliation,10/23/2017,20171023-5110,Comment of K Karnos under RM18-1.
328,Individual No Affiliation,10/23/2017,20171023-5111,Comments in Opposition of 47 Coffin Street Ratepayer Advocates under RM18-1.
329,"Entergy Services, Inc. Entergy Services, Inc. Entergy Arkansas, Inc. Entergy Arkansas, Inc. Entergy Louisiana, LLC Entergy Louisiana, LLC Entergy Mississippi, Inc. Entergy Mississippi, Inc. Entergy New Orleans, Inc. Entergy New Orleans, Inc. Entergy Texas, Inc. Entergy Texas, Inc. Entergy Nuclear Power Marketing, LLC Entergy Nuclear Power Marketing, LLC",10/23/2017,20171023-5112,"Initial Comments of Entergy Services, Inc., et al. under RM18-1."
330,Kentucky Coal Association,10/23/2017,20171023-5114,Comment of Kentucky Coal Association under RM18-1.
331,H.Q. Energy Services (U.S.) Inc. H.Q. Energy Services (U.S.) Inc.,10/23/2017,20171023-5115,Comment of H.Q. Energy Services (U.S.) Inc. under RM18-1.
332,"Clean Energy Future, LLC",10/23/2017,20171023-5116,"FERC Comments from Clean Energy Future, LLC under RM18-1."
333,IBEW Local Union 50,10/23/2017,20171023-5118,Comment of IBEW Local Union 50 under RM18-1.
334,"BLUEROCK ENERGY, INC BLUEROCK ENERGY, INC",10/23/2017,20171023-5119,"Comment of BLUEROCK ENERGY, INC under RM18-1."
335,State of Vermont,10/23/2017,20171023-5120,(doc-less) Motion to Intervene of State of Vermont under RM18-1.
336,NUZUM ENTERPRISES,10/23/2017,20171023-5121,Comment of NUZUM ENTERPRISES under RM18-1. (Erroneously filed)
337,County of Indiana,10/23/2017,20171023-5122,Comment of County of Indiana under RM18-1.
338,Individual No Affiliation,10/23/2017,20171023-5123,Comment of Stephen L. Huntoon under RM18-1.
339,"Indiana Coal Council, Inc.",10/23/2017,20171023-5126,"Comment of Indiana Coal Council, Inc. under RM18-1."
340,Connecticut Department of Energy and Environmental Protectio,10/23/2017,20171023-5127,Motion to Intervene of Connecticut Department of Energy and Environmental Protection under RM18-1.
341,Portland General Electric Company,10/23/2017,20171023-5128,Comment of Portland General Electric Company under RM18-1.
342,TerraPower,10/23/2017,20171023-5131,Comment of TerraPower under RM18-1.
343,"Campbell Transportation Company, Inc.",10/23/2017,20171023-5133,"Comment of Campbell Transportation Company, Inc. under RM18-1."
344,"PAGNOTTI ENTERPRISES, INC. PAGNOTTI ENTERPRISES INC",10/23/2017,20171023-5135,"Comment of PAGNOTTI ENTERPRISES, INC. under RM18-1. concerning Grid Reliability and Resilience Pricing."
345,Individual No Affiliation,10/23/2017,20171023-5138,Comment of Ty G Fenton under RM18-1.
346,"George Jepsen, Attorney General for the State of Connecticut George Jepsen, Attorney General for the State of Connecticut",10/23/2017,20171023-5139,"Motion to Intervene of George Jepsen, Attorney General for the State of Connecticut under RM18-1."
347,Individual No Affiliation,10/23/2017,20171023-5140,Comments of Dr. Steve Isser under RM18-1.
348,Anadarko Petroleum Corporation,10/23/2017,20171023-5141,Comment of Anadarko Petroleum Corporation under RM18-1.
349,Illinois Municipal Electric Agency,10/23/2017,20171023-5142,Comments of Illinois Municipal Electric Agency under RM18-1.
350,Devon Energy Corporation,10/23/2017,20171023-5145,Comment of Devon Energy Corporation under RM18-1.
351,Individual No Affiliation,10/23/2017,20171023-5152,Comment of Mary E Lampert under RM18-1.
352,"Allegheny Electric Cooperative, Inc.",10/23/2017,20171023-5155,"Comments of Allegheny Electric Cooperative, Inc. in Support of Grid Reliability and Resilience Pricing Rule under RM18-1."
353,The Industrial Energy Consumers of Pennsylvania and The Penn,10/23/2017,20171023-5156,Comments of The Industrial Energy Consumers of Pennsylvania and The Pennsylvania Manufacturers Association under RM18-1.
354,Pleasants Area Chamber of Commerce,10/23/2017,20171023-5158,Comment of Pleasants Area Chamber of Commerce under RM18-1.
355,"OH, PA, WV IPPs",10/23/2017,20171023-5174,"Letter to Chairman Chatterjee and Commissioners LaFleur and Powelson of the Independent Power Producers of Ohio, Pennsylvania, and West Virginia in opposition to Notice of Proposed Rulemaking under RM18-1."
356,"Basin Electric Power Cooperative, Inc.",10/23/2017,20171023-5175,Letter to Chairman Chatterjee of Basin Electric Power Cooperative on the Notice of Proposed Rulemaking under RM18-1.
357,"Kinder Morgan, Inc. Kinder Morgan, Inc. Kinder Morgan, Inc. Kinder Morgan, Inc.",10/23/2017,20171023-5179,"(doc-less) Motion to Intervene of Kinder Morgan, Inc. under RM18-1."
358,"Notus Clean Energy, LLC",10/23/2017,20171023-5180,"Comment of Notus Clean Energy, LLC under RM18-1."
359,Domestic Energy Producers Alliance,10/23/2017,20171023-5181,Comment of Domestic Energy Producers Alliance under RM18-1.
360,Pennsylvania Public Utility Commission,10/23/2017,20171023-5182,Comments of Pennsylvania Public Utility Commission under RM18-1.
361,Individual No Affiliation,10/23/2017,20171023-5185,Comment of Chris Cook in opposition to Notice of Proposed Rulemaking under RM18-1.
362,Individual No Affiliation,10/23/2017,20171023-5186,"Letter to Chairman Chatterjee and Commissioners LaFleur and Powelson of Eugene G. Preston, PhD, PE to Notice of Proposed Rulemaking under RM18-1."
363,"Mine and Mill Supply Company, LLC",10/23/2017,20171023-5188,"Comment of Mine and Mill Supply Company, LLC under RM18-1."
364,American Iron and Steel Institute (AISI),10/23/2017,20171023-5190,Comments of American Iron and Steel Institute (AISI) under RM18-1.
365,Ohio Coal Association,10/23/2017,20171023-5192,Comments Of The Ohio Coal Association In Support Of Proposed Rule under RM18-1.
366,Individual No Affiliation,10/23/2017,20171023-5193,Comment of Loy E Sneary under RM18-1.
367,"Tri-State Generation and Transmission Association, Inc.",10/23/2017,20171023-5194,"Comment of Tri-State Generation and Transmission Association, Inc. under RM18-1."
368,New York Attorney General,10/23/2017,20171023-5195,(doc-less) Motion to Intervene of New York Attorney General under RM18-1.
369,PJM Power Providers Group,10/23/2017,20171023-5196,Comment of PJM Power Providers Group under RM18-1.
370,E4TheFuture,10/23/2017,20171023-5198,"Comment of E4TheFuture, et al. to Notice of Proposed Rulemaking under RM18-1."
371,Geothermal Energy Association,10/23/2017,20171023-5199,Comment of the Geothermal Energy Association to Notice of Proposed Rulemaking under RM18-1.
372,Individual No Affiliation,10/23/2017,20171023-5200,"Comment of William Siderewicz, P.E, President, Clean Energy Future, LLC in opposition to Notice of Proposed Rulemaking under RM18-1."
373,Clean Energy Business Network,10/23/2017,20171023-5201,Comment of Clean Energy Business Network under RM18-1.
374,Sierra Club,10/23/2017,20171023-5203,"Comment of Sierra Club, for and on behalf its over 3 million members and supporters in opposition to Notice of Proposed Rulemaking under RM18-1."
375,Individual No Affiliation,10/23/2017,20171023-5204,"Comments of Ambassador Henry F. Cooper under RM18-1. on behalf of High Frontier, a 501c(3) non-profit organization that has focused since its 1981 founding on telling Americans how they can be most effectively defended against ballistic missile attack."
376,On Behalf of Planet Earth,10/23/2017,20171023-5205,"Comment of On Behalf of Planet Earth - NO subsidies for coal and nuclear power, under RM18-1."
377,Rhodium Group LLC,10/23/2017,20171023-5206,"Comment of John Larsen, Director at the Rhodium Group LLC. under RM18-1. We analyzed reliability and generation data and find ow clear link between better reliability and the presence of coal and nuclear generation."
378,"Avangrid, Inc. Avangrid, Inc.",10/23/2017,20171023-5207,"Initial Comments of Avangrid, Inc. under RM18-1."
379,New Jersey Board of Public Utilities,10/23/2017,20171023-5209,(doc-less) Motion to Intervene of the New Jersey Board of Public Utilities under RM18-1.
380,"New England Power Generators Association Inc. New England Power Generators Association Inc. Independent Power Producers of New York, Inc. Independent Power Producers of New York, Inc.",10/23/2017,20171023-5210,"Comment of New England Power Generators Association Inc., and the Independent Power Producers of New York, Inc., under RM18-1."
381,"SunEx Solar, LLC",10/23/2017,20171023-5211,"Comment of SunEx Solar, LLC under RM18-1."
382,Seattle City Light,10/23/2017,20171023-5212,Comment of Seattle City Light under RM18-1.
383,Electricity Consumers Resource Council,10/23/2017,20171023-5218,"Comments of Electricity Consumers Resource Council (ELCON), et al. under RM18-1."
384,Edison Electric Institute,10/23/2017,20171023-5219,Comments of Edison Electric Institute under RM18-1-000 regarding grid reliability and resiliency pricing.
